,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
86,Eastern Michigan,31,9,22,0.29,-9.11,-3.11,,5,11,,7,6,,1,13,,1906,2030,,67.3,91,0.353,0.392,0.481,49.2,61.3,9.7,9.8,0.452,18.5,28.7,0.221
87,Eastern Washington,30,10,20,0.333,-8.5,-2.22,,7,9,,8,6,,2,14,,2023,2119,,66.6,100.5,0.363,0.389,0.512,49.3,51.7,8.6,10.7,0.48,17.3,34,0.24
88,Elon,31,14,17,0.452,-6.54,-3.32,,7,11,,8,5,,5,9,,2301,2301,,70.3,105.6,0.382,0.439,0.546,48,56.9,7.8,6.5,0.508,15.6,28.6,0.272
89,Evansville,32,16,16,0.5,-0.3,1.8,,9,9,,13,3,,3,12,,2122,2147,,66.1,100,0.465,0.257,0.541,47.9,62.5,8.3,5.7,0.496,17.5,25.4,0.329
90,Fairfield,33,25,8,0.758,2.94,-3.91,,15,3,,13,3,,10,4,,2150,1924,,65.8,98.7,0.389,0.258,0.505,51.8,58.2,12.4,9.4,0.472,17.7,35,0.255
91,Fairleigh Dickinson,29,5,24,0.172,-13.34,-5,,3,15,,3,11,,2,13,,1866,2108,,67.3,94.1,0.394,0.289,0.486,50.2,52.6,8.4,8.8,0.444,18.6,33.4,0.266
92,Florida A&M,32,12,20,0.375,-16.82,-8.71,,7,9,,11,3,,1,16,,2055,2196,,68.7,92,0.402,0.349,0.483,50.2,41.8,11.1,9.8,0.453,19.8,35.5,0.243
93,Florida Atlantic,32,21,11,0.656,-2.41,-2.61,,13,3,,10,3,,9,7,,2191,2137,,64.7,105,0.392,0.292,0.523,49.1,50.5,9.2,12.8,0.492,14.7,32.8,0.258
94,Florida Gulf Coast,30,10,20,0.333,-10.27,-3.11,,7,13,,6,8,,4,12,,1970,2185,,69.2,93.7,0.426,0.319,0.493,50.7,54.3,9,6.3,0.454,20,35.3,0.277
95,Florida International,30,11,19,0.367,-9.33,-4.23,,5,11,,8,7,,2,11,,2150,2262,,69.4,101.6,0.49,0.305,0.532,47.7,44.6,11.7,10.5,0.488,17.9,32.5,0.336
96,Florida State NCAA,34,23,11,0.676,13.48,6.45,,11,5,,12,3,,8,5,,2348,2109,,69.3,99.3,0.381,0.333,0.522,53.3,51.1,12.2,17.5,0.49,19.4,35.6,0.253
97,Florida NCAA,37,29,8,0.784,16.27,7.57,,13,3,,14,3,,8,2,,2667,2345,,63.9,110.3,0.357,0.317,0.547,54,53.8,9.1,9.5,0.521,15.6,37.2,0.239
98,Fordham,28,7,21,0.25,-8.77,1.01,,1,15,,6,6,,1,10,,1795,2069,,67.9,94.4,0.307,0.331,0.479,50,54,6.2,11.4,0.452,17.3,34.2,0.194
99,Fresno State,31,14,17,0.452,-0.25,0.58,,6,10,,11,5,,3,11,,2096,2089,,67.6,99.7,0.39,0.357,0.508,50.8,59.4,12.6,10.2,0.48,17.3,33.3,0.245
100,Furman,33,22,11,0.667,-0.36,-3.65,,12,6,,11,2,,9,8,,2271,2124,,63.6,107.4,0.405,0.371,0.556,52.2,52.8,8,9.7,0.516,17.6,34.8,0.294
101,Gardner-Webb,32,11,21,0.344,-9.22,-2.72,,6,12,,6,5,,3,16,,1985,2129,,65.9,93.7,0.313,0.359,0.496,50.5,46.6,10.6,7,0.469,19.2,31.8,0.201
102,George Mason NCAA,34,27,7,0.794,11.66,1.37,,16,2,,14,0,,10,3,,2474,2124,,64.3,111.9,0.386,0.308,0.562,51.5,55.1,10.1,8.9,0.532,14.6,32.9,0.266
103,George Washington,31,17,14,0.548,-0.1,0.36,,10,6,,9,7,,7,5,,2011,2025,,64.7,99.9,0.376,0.315,0.497,51.1,52.1,9.9,12.3,0.468,16.4,36.4,0.236
104,Georgetown NCAA,32,21,11,0.656,14.61,10.39,,10,8,,10,4,,7,5,,2258,2123,,64.8,108.5,0.334,0.371,0.572,52,59.5,9.3,11.2,0.541,18,33.7,0.245
105,Georgia Southern,32,5,27,0.156,-15.88,-3.13,,1,17,,5,10,,0,14,,2090,2423,,69.5,93.2,0.401,0.262,0.528,47.8,51.1,12.3,7.9,0.491,22.5,30.5,0.276
106,Georgia State,31,12,19,0.387,-4.15,-1.92,,6,12,,8,6,,2,12,,1919,1988,,63.6,95.5,0.328,0.305,0.495,51.9,57.1,10,14.7,0.475,19.3,35.8,0.195
107,Georgia Tech,31,13,18,0.419,6.42,5.68,,5,11,,10,6,,1,10,,2102,2079,,69.2,97.3,0.318,0.347,0.492,50.7,54.3,13.7,11.7,0.457,16.6,33.5,0.219
108,Georgia NCAA,33,21,12,0.636,10.43,6.13,,9,7,,12,4,,7,4,,2267,2125,,64.6,104,0.366,0.25,0.53,53.4,60.1,9.7,12.8,0.495,17.2,36.8,0.255
109,Gonzaga NCAA,35,25,10,0.714,13.86,4.01,,11,3,,14,2,,6,4,,2684,2307,,68.4,111.3,0.416,0.281,0.576,54.8,58.2,10.5,10.5,0.531,16.9,35.4,0.317
110,Grambling,33,12,21,0.364,-18.45,-10.45,,8,10,,4,6,,5,13,,1998,2262,,69.1,86.3,0.385,0.303,0.46,48.5,48.4,9.2,6.8,0.425,18.9,29.4,0.236
111,Green Bay,32,14,18,0.438,-0.21,2.18,,8,10,,10,4,,4,12,,2154,2189,,65.6,101.8,0.345,0.265,0.514,51.3,47.9,9.4,10.7,0.479,16.7,36.1,0.238
112,Hampton NCAA,33,24,9,0.727,-5.2,-8.77,,11,5,,8,3,,8,5,,2197,2070,,67.3,97.5,0.412,0.357,0.499,47,51.9,10.7,14.2,0.463,15.8,29.7,0.267
113,Hartford,31,11,20,0.355,-10.04,-5.55,,7,9,,7,5,,3,13,,1857,1996,,63.5,92.4,0.235,0.495,0.476,45.3,54.6,12.1,8.6,0.458,16.6,27.6,0.141
114,Harvard,30,23,7,0.767,4.88,-1.19,,12,3,,14,0,,9,6,,2144,1933,,63.9,111,0.433,0.364,0.596,51.8,60.6,9.2,11.8,0.543,18.1,31.4,0.351
115,Hawaii,32,19,13,0.594,0.51,-0.87,,8,8,,15,5,,4,6,,2216,2151,,68.6,99.8,0.436,0.321,0.545,51.4,50,8,11,0.508,19.6,31.3,0.299
116,High Point,31,12,19,0.387,-12.82,-4.47,,7,11,,9,5,,3,13,,2050,2250,,68.5,95.4,0.413,0.287,0.501,48.2,48.5,10.5,7.6,0.462,18.6,32.3,0.275
117,Hofstra,33,21,12,0.636,-0.03,0.13,,14,4,,10,3,,10,5,,2335,2300,,64.8,108,0.359,0.318,0.544,47.1,55.1,9.8,11,0.5,13.9,29.8,0.273
118,Holy Cross,29,8,21,0.276,-6.38,-4.55,,7,7,,4,9,,4,12,,1949,2002,,66,101,0.357,0.281,0.515,52.2,54,6.1,9.7,0.486,17,33.6,0.232
119,Houston Baptist,31,5,26,0.161,-18.41,-8.72,,2,10,,4,8,,0,15,,2140,2429,,73.3,93.4,0.399,0.295,0.495,46.2,49.3,11.2,7,0.454,19.2,31.3,0.27
120,Houston,30,12,18,0.4,-2.71,0.55,,4,12,,10,6,,2,11,,2061,2092,,66.4,101.4,0.409,0.286,0.546,48.6,55.6,8.3,10.6,0.515,19.5,31.5,0.274
121,Howard,30,6,24,0.2,-18.8,-7.3,,4,12,,6,9,,0,13,,1753,2098,,66,88.5,0.426,0.305,0.463,49.1,47,9.2,6.5,0.424,20.1,35.2,0.265
122,Idaho State,29,9,20,0.31,-10.76,-1.87,,4,12,,7,5,,1,14,,1878,2096,,64.9,98.5,0.414,0.276,0.503,49,42.9,10.2,9.5,0.457,17,33.7,0.29
123,Idaho,32,18,14,0.563,0.2,-0.64,,9,7,,10,5,,8,8,,2172,2134,,65.4,102.5,0.383,0.321,0.559,50.3,60,9.9,8.3,0.523,19.5,30.9,0.276
124,Illinois-Chicago,31,7,24,0.226,-6.32,1.98,,2,16,,4,10,,1,14,,1943,2152,,65.6,94.4,0.309,0.274,0.497,52.7,49.9,7,6.9,0.467,20.3,36.7,0.206
125,Illinois State,31,12,19,0.387,-3.37,-0.66,,4,14,,10,8,,2,10,,1893,1977,,62.4,96.8,0.336,0.308,0.51,51.4,50.9,7.8,11.7,0.473,18.3,30.7,0.238
126,Illinois NCAA,34,20,14,0.588,16.72,11.11,,9,9,,14,2,,3,7,,2413,2222,,66.2,106.8,0.282,0.314,0.557,51.2,63.5,8.3,12.1,0.529,16.7,31.7,0.206
127,Indiana State NCAA,34,20,14,0.588,3.41,2.9,,12,6,,10,3,,6,8,,2253,2192,,64.8,100.8,0.377,0.362,0.533,50.8,56,9.5,12.4,0.494,18.4,30.9,0.268
128,Indiana,32,12,20,0.375,9.03,7.65,,3,15,,12,6,,0,11,,2226,2182,,65.3,106.2,0.369,0.319,0.553,50.7,49.8,9.6,7.9,0.516,17.1,32.6,0.268
129,Iona,37,25,12,0.676,7.01,-2.26,,13,5,,12,3,,11,6,,2922,2579,,69.5,112.1,0.365,0.361,0.566,51.6,61.5,10.7,8.5,0.544,15.3,33.2,0.24
