"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"170","Cornell","Ivy",0.502495,170,110.307,76,110.211,293,71.1474,24,-5.475584985633,11,0.3452,0.3452,13,0.4321,0.4321,NA,2023
"171","Ball St.","MAC",0.502292,171,107.613,121,107.527,243,67.2638,177,-6.2942288569045,10,0.3653,0.3653,11,0.4089,0.4089,NA,2023
"172","Chattanooga","SC",0.497446,172,107.698,118,107.793,249,68.1747,135,-11.040272245633,12,0.4015,0.4015,10,0.4049,0.4049,NA,2023
"173","Lipscomb","ASun",0.497092,173,103.63,192,103.735,160,69.325,78,-7.2022470059121,10,0.3408,0.3408,11,0.4038,0.4038,NA,2023
"174","Stetson","ASun",0.495554,174,112.268,51,112.442,331,64.488,317,-6.8531033082063,18,0.492,0.492,13,0.4418,0.4447,NA,2023
"175","North Carolina Central","MEAC",0.493375,175,100.256,271,100.487,94,67.8038,156,-7.3488862631614,18,0.4192,0.4192,11,0.3226,0.3226,NA,2023
"176","Saint Joseph's","A10",0.488162,176,104.233,175,104.663,177,69.2517,80,-9.7346301495679,15,0.4232,0.4232,14,0.4883,0.4883,NA,2023
"177","UNC Asheville","BSth",0.487925,177,102.649,216,103.081,145,68.4493,128,-1.7252604276855,16,0.4048,0.4048,12,0.3806,0.3639,15,2023
"178","Radford","BSth",0.484291,178,103.97,181,104.54,173,64.6068,314,-8.3708406319601,19,0.4409,0.4409,11,0.3887,0.3824,NA,2023
"179","Grambling St.","SWAC",0.483915,179,99.4963,280,100.055,85,66.1297,238,-4.5300326709049,19,0.4735,0.4735,9,0.2977,0.2977,NA,2023
"180","UTEP","CUSA",0.47945,180,99.4871,281,100.201,87,66.8163,201,-10.419586110799,12,0.3701,0.3701,16,0.4972,0.4972,NA,2023
"181","Louisiana Tech","CUSA",0.474663,181,104.566,166,105.492,199,66.6458,210,-9.7448673287222,13,0.3733,0.3733,17,0.5073,0.5073,NA,2023
"182","St. Bonaventure","A10",0.467353,182,100.706,254,101.858,118,65.6507,271,-11.56173243014,9,0.4265,0.4265,12,0.4919,0.4919,NA,2023
"183","Quinnipiac","MAAC",0.466526,183,103.905,184,105.124,185,69.7602,53,-7.2958885470818,12,0.3923,0.3923,9,0.3626,0.3626,NA,2023
"184","Georgia Southern","SB",0.463911,184,100.381,266,101.651,113,66.6108,214,-9.7615658478471,9,0.3252,0.3252,12,0.4275,0.4275,NA,2023
"185","South Dakota St.","Sum",0.463771,185,103.972,180,105.293,191,66.7648,205,-6.0754062439789,28,0.6071,0.6071,15,0.4376,0.4376,NA,2023
"186","Texas A&M Corpus Chris","Slnd",0.462893,186,106.058,142,107.439,239,69.2143,82,-5.885868673366,16,0.3564,0.3564,8,0.2759,0.2753,16,2023
"187","Harvard","Ivy",0.462223,187,99.5616,279,100.881,100,66.0487,247,-8.4202836233711,13,0.3812,0.3812,13,0.4384,0.4384,NA,2023
"188","Buffalo","MAC",0.460283,188,103.724,189,105.17,187,72.2853,10,-9.1504335161837,23,0.5397,0.5397,17,0.4954,0.4954,NA,2023
"189","Drexel","CAA",0.459991,189,100.367,267,101.777,115,63.4605,341,-10.196895717875,12,0.4493,0.4493,9,0.3702,0.3702,NA,2023
"190","St. Thomas","Sum",0.457959,190,106.581,134,108.155,256,66.1236,240,-8.3718699735005,15,0.3868,0.3868,11,0.3694,0.3694,NA,2023
"191","East Carolina","Amer",0.457307,191,101.981,228,103.51,154,67.5246,167,-7.656675772053,8,0.3518,0.3518,20,0.5475,0.5475,NA,2023
"192","Texas St.","SB",0.455412,192,104.617,164,106.256,210,63.6464,337,-11.800832001577,10,0.3635,0.3635,13,0.4681,0.4681,NA,2023
"193","Western Kentucky","CUSA",0.454917,193,103.498,196,105.138,186,67.3701,172,-8.2327754195533,8,0.3388,0.3388,15,0.4999,0.4999,NA,2023
"194","Pepperdine","WCC",0.453113,194,104.569,165,106.293,212,72.2171,11,-12.473136362579,17,0.4941,0.4941,21,0.5864,0.5864,NA,2023
"195","Abilene Christian","WAC",0.450704,195,105.17,159,106.995,228,69.1551,86,-10.037063055322,13,0.335,0.335,15,0.4833,0.4833,NA,2023
"196","Wright St.","Horz",0.449839,196,103.949,183,105.785,201,71.3034,22,-10.81635662685,9,0.3726,0.3726,7,0.3449,0.3449,NA,2023
"197","Old Dominion","SB",0.449516,197,101.755,233,103.564,156,64.9783,301,-5.6851600867852,12,0.443,0.443,13,0.4806,0.4806,NA,2023
"198","George Washington","A10",0.449498,198,109.308,93,111.251,313,68.8772,97,-10.061406352466,10,0.3736,0.3736,11,0.4649,0.4649,NA,2023
"199","Navy","Pat",0.443995,199,101.544,237,103.549,155,64.4656,318,-8.5397809455701,15,0.4282,0.4282,9,0.3428,0.3428,NA,2023
"200","Weber St.","BSky",0.442816,200,99.3109,283,101.315,107,65.0846,296,-8.1441492754795,18,0.5126,0.5126,13,0.4629,0.4629,NA,2023
"201","Gardner Webb","BSth",0.431039,201,98.7583,291,101.171,105,66.1932,233,-11.200724409273,14,0.4325,0.4325,9,0.3805,0.3805,NA,2023
"202","Morehead St.","OVC",0.424468,202,100.995,251,103.705,159,63.6116,339,-6.4969645415964,17,0.3993,0.3993,11,0.3222,0.3058,NA,2023
"203","Florida Gulf Coast","ASun",0.423719,203,103.675,190,106.484,219,66.2966,228,-8.5406560350083,20,0.4909,0.4909,14,0.4346,0.4346,NA,2023
"204","FIU","CUSA",0.422011,204,102.799,211,105.649,200,70.0411,42,-10.903044169453,8,0.2885,0.2885,15,0.4733,0.4733,NA,2023
"205","Queens","ASun",0.42107,205,106.237,139,109.219,277,69.8838,48,-9.3212237860453,8,0.3089,0.3089,11,0.3997,0.3997,NA,2023
"206","Georgetown","BE",0.419468,206,103.503,195,106.47,218,68.8362,99,-12.705913748988,12,0.419,0.419,28,0.6602,0.6602,NA,2023
"207","Florida St.","ACC",0.41581,207,104.158,176,107.283,236,68.8347,100,-12.081227216677,18,0.5913,0.5913,23,0.6466,0.6466,NA,2023
"208","Northern Iowa","MVC",0.414272,208,103.206,204,106.361,214,67.4319,169,-11.347099844805,10,0.4491,0.4491,13,0.4822,0.4822,NA,2023
"209","San Diego","WCC",0.41323,209,109.596,90,112.989,334,68.6991,113,-11.769088406625,10,0.3954,0.3954,18,0.5402,0.5402,NA,2023
"210","La Salle","A10",0.412933,210,103.769,186,106.993,227,67.8063,155,-11.430519990572,15,0.4763,0.4763,14,0.499,0.499,NA,2023
"211","Minnesota","B10",0.412447,211,102.07,224,105.259,188,65.7029,268,-9.8362188130562,10,0.3927,0.3927,28,0.6782,0.6782,NA,2023
"212","New Mexico St.","WAC",0.410071,212,103.576,194,106.904,225,69.1468,87,-8.6823929846846,18,0.4586,0.4586,18,0.5243,0.5243,NA,2023
"213","Howard","MEAC",0.408495,213,103.188,205,106.564,220,68.9753,95,-7.1661450935416,14,0.4182,0.4182,10,0.3521,0.3355,16,2023
"214","South Carolina","SEC",0.406536,214,103.159,207,106.609,221,64.3181,322,-9.3564048219976,13,0.4676,0.4676,25,0.6492,0.6492,NA,2023
"215","Norfolk St.","MEAC",0.403951,215,105.846,151,109.488,281,65.3231,282,-5.7798948243353,19,0.3433,0.3433,12,0.3034,0.3034,NA,2023
"216","Massachusetts","A10",0.402997,216,100.182,272,103.665,158,70.671,31,-9.1560547569311,14,0.5036,0.5036,14,0.5174,0.5174,NA,2023
"217","Northern Arizona","BSky",0.401837,217,106.998,129,110.764,302,66.8131,202,-15.067242970548,23,0.5628,0.5628,15,0.4862,0.4862,NA,2023
"218","Bryant","AE",0.399528,218,103.364,202,107.092,231,72.0977,13,-7.7737192650967,16,0.448,0.448,11,0.3851,0.3851,NA,2023
"219","Rider","MAAC",0.397185,219,104.999,160,108.878,271,65.1372,292,-9.3128591410987,15,0.3997,0.3997,10,0.3652,0.3652,NA,2023
"220","Murray St.","MVC",0.39615,220,105.607,155,109.55,282,66.7166,208,-7.681868434355,14,0.4221,0.4221,15,0.4781,0.4781,NA,2023
"221","Siena","MAAC",0.396033,221,100.534,258,104.291,169,66.8571,200,-10.378209125332,10,0.4173,0.4173,9,0.3766,0.3766,NA,2023
"222","Oregon St.","P12",0.395899,222,98.6694,294,102.363,126,63.5995,340,-9.3297759204377,14,0.3839,0.3839,26,0.6262,0.6262,NA,2023
"223","Detroit","Horz",0.394064,223,109.666,89,113.847,342,67.1623,183,-12.92499278727,21,0.5342,0.5342,12,0.4139,0.4139,NA,2023
"224","North Dakota St.","Sum",0.391813,224,103.445,199,107.477,241,68.1446,139,-10.127939891099,23,0.5318,0.5318,14,0.4285,0.4285,NA,2023
"225","Mercer","SC",0.390644,225,98.7478,292,102.64,134,64.5204,316,-13.803904743002,8,0.3722,0.3722,9,0.3981,0.3981,NA,2023
"226","Northwestern St.","Slnd",0.385858,226,104.659,163,108.976,272,66.5475,219,-5.5995776170504,23,0.493,0.493,11,0.3362,0.3362,NA,2023
"227","Campbell","BSth",0.382764,227,104.763,162,109.208,276,64.259,323,-13.115673257542,11,0.3994,0.3994,9,0.3763,0.3763,NA,2023
"228","North Florida","ASun",0.376139,228,108.824,101,113.719,341,68.0846,144,-10.008765228363,26,0.4735,0.4735,16,0.4411,0.4411,NA,2023
"229","Loyola Chicago","A10",0.373429,229,102.266,221,106.974,226,66.1257,239,-13.618463890408,15,0.446,0.446,15,0.515,0.515,NA,2023
"230","Rice","CUSA",0.373328,230,105.996,146,110.879,306,69.889,47,-7.2662922088158,10,0.2875,0.2875,16,0.485,0.4801,NA,2023
"231","Jacksonville","ASun",0.373155,231,100.359,268,104.989,182,61.0021,361,-10.164620167566,19,0.4382,0.4382,13,0.4324,0.4324,NA,2023
"232","UC San Diego","BW",0.372501,232,103.455,198,108.254,260,66.0352,250,-13.8582530359,15,0.4187,0.4187,13,0.4572,0.4572,NA,2023
"233","UT Arlington","WAC",0.372222,233,99.9818,274,104.631,175,65.8936,259,-13.225376421139,15,0.4636,0.4636,15,0.53,0.53,NA,2023
"234","Northern Colorado","BSky",0.370481,234,105.976,147,110.976,309,69.5956,61,-12.572785749317,26,0.5503,0.5503,16,0.4816,0.4816,NA,2023
"235","Jacksonville St.","ASun",0.368978,235,101.557,236,106.408,216,65.49,280,-11.421086657051,18,0.4017,0.4017,14,0.429,0.429,NA,2023
"236","Portland St.","BSky",0.363899,236,102.777,212,107.891,251,72.4226,8,-12.622814650679,19,0.5138,0.5138,13,0.4589,0.4589,NA,2023
"237","Delaware","CAA",0.361701,237,102.051,226,107.218,235,67.0775,186,-9.7301117605958,15,0.4596,0.4596,12,0.4264,0.4264,NA,2023
"238","Army","Pat",0.35543,238,102.714,214,108.171,257,68.5768,117,-12.483620102536,5,0.251,0.251,6,0.2918,0.2918,NA,2023
"239","Milwaukee","Horz",0.354225,239,102.064,225,107.535,244,71.7547,17,-6.0793975726034,17,0.3683,0.3683,10,0.3653,0.3613,NA,2023
"240","Wofford","SC",0.351852,240,108.223,108,114.128,343,65.0972,295,-9.704219849498,15,0.3725,0.3725,13,0.4093,0.4093,NA,2023
"241","Northern Illinois","MAC",0.347141,241,100.592,257,106.271,211,68.9964,92,-12.0753252718,21,0.4531,0.4531,15,0.431,0.431,NA,2023
"242","Rhode Island","A10",0.346572,242,97.5932,311,103.126,146,67.2346,181,-15.66809280597,12,0.4674,0.4674,13,0.5026,0.5026,NA,2023
"243","Robert Morris","Horz",0.336113,243,98.0966,304,104.078,164,66.2292,231,-12.013772053095,13,0.3875,0.3875,9,0.3617,0.3617,NA,2023
"244","Idaho St.","BSky",0.334587,244,101.834,230,108.107,253,65.2436,287,-15.325250153573,13,0.3828,0.3828,11,0.416,0.416,NA,2023
"245","Fort Wayne","Horz",0.333108,245,100.004,273,106.227,207,69.0296,91,-10.025738609484,14,0.3845,0.3845,10,0.3667,0.3667,NA,2023
"246","Western Carolina","SC",0.331982,246,101.673,234,108.047,252,67.5571,166,-9.494932024922,10,0.3176,0.3176,11,0.3921,0.3853,NA,2023
"247","Winthrop","BSth",0.327393,247,107.688,119,114.646,348,66.9417,193,-11.187456076157,18,0.465,0.465,12,0.4067,0.4067,NA,2023
"248","North Alabama","ASun",0.326634,248,104.511,167,111.297,314,68.4794,123,-7.756632248992,16,0.375,0.375,13,0.4132,0.4064,NA,2023
"249","East Tennessee St.","SC",0.325144,249,100.525,259,107.115,233,65.9495,256,-15.087675451986,8,0.3586,0.3586,9,0.3922,0.3922,NA,2023
"250","Canisius","MAAC",0.325058,250,101.493,239,108.15,255,67.6492,162,-14.935341657177,16,0.5045,0.5045,11,0.4045,0.4045,NA,2023
