RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
164,UC Davis,BW,33,19,107,106.7,0.5077,51.8,51.7,17.9,19.8,25.2,30.5,40.5,39.1,51.9,52.4,34.4,33.8,68.9,-8.4,N/A
165,Harvard,Ivy,29,17,105.4,105.2,0.506,53.2,50.4,17.4,17.1,26.8,28.2,25.7,26.6,54,51.4,34.7,32.6,63.1,-7.5,N/A
166,Montana,BSky,34,18,107.2,107,0.5042,55.8,50.5,19.6,14.3,20.7,29.6,36.8,32.6,56.5,51.9,36.6,32.3,69.5,-10,N/A
167,Cal St. Northridge,BW,34,20,108.9,108.9,0.5008,51.3,51.6,17.5,16.4,31.9,26.6,34.2,34.3,52.6,51.7,32.4,34.4,73.5,-8.2,N/A
168,Richmond,A10,32,15,110.4,110.5,0.4979,52.7,52,14.3,17.7,25,31,36.9,35.1,50.5,54.5,37.1,32.7,67.6,-10.9,N/A
169,Western Kentucky,CUSA,32,18,108,108.2,0.4957,47.5,51.2,14.5,17.2,31.8,29.5,41.2,46.8,45.8,51,33.4,34.3,69.9,-8.6,N/A
170,Merrimack,MAAC,34,23,106.2,106.4,0.4939,49.1,46.7,14.8,20.4,24.8,39.9,38.2,37.1,49.1,47.3,32.7,30.3,63.5,-6.3,N/A
171,Monmouth,CAA,34,19,106.3,106.7,0.4895,49.6,50.1,16.6,19.9,31.2,32.8,32.7,32.2,48.7,49.6,34.2,33.9,66.9,-10,N/A
172,Charlotte,Amer,34,17,112.9,113.5,0.4843,53.4,50.9,18.1,13.6,33.9,32.5,36.4,36.2,53.8,51.4,35.2,33.5,63.4,-10.2,N/A
173,Winthrop,BSth,34,23,110.4,111,0.4834,49.7,51.4,14.7,16.7,34.1,27.7,44,39,49.7,53,33.2,32.9,69.9,-5.6,N/A
174,Massachusetts,MAC,33,17,109.9,110.6,0.4814,53.1,52.9,17.8,16.8,33.3,26.1,37,44.6,53.2,55.4,35.2,33,70.2,-11.4,N/A
175,Towson,CAA,34,19,104.1,104.9,0.479,46.5,48.5,15.9,15.1,36,29.1,30.4,29.3,47.8,50,29.4,30.9,63.4,-9,N/A
176,FIU,CUSA,32,15,107.7,108.6,0.4768,50.6,52.9,17.7,20.1,33.9,34.8,38.6,35.9,49.9,51.7,34.7,36.2,71.6,-11.5,N/A
177,Fordham,A10,32,17,103.2,104.2,0.4723,48.6,49.9,17.2,17.2,34.1,26.8,26.4,30.3,51.9,49.8,28.9,33.4,64.2,-9.4,N/A
178,Oakland,Horz,32,16,113.8,115,0.47,52.7,54.7,14.7,15.1,31.3,34.4,38.1,24.6,53,57,34.7,34.3,70,-8.4,N/A
179,Northern Kentucky,Horz,34,20,108.9,110.2,0.4683,53.2,54.2,16.3,18.6,32.2,31.6,35.9,37.2,55.5,53.8,33.6,36.6,70,-9.6,N/A
180,Green Bay,Horz,33,18,113.1,114.3,0.4681,54.9,53.6,16,13.2,25.1,29.6,41.6,37.4,55,52.9,36.4,36.3,63,-9.7,N/A
181,Texas A&M Corpus Chris,Slnd,33,18,104.1,105.3,0.4665,49.5,50.1,19.4,19,31.7,28.8,41.1,46.3,48.1,51.5,35,31.6,65.9,-9,N/A
182,UT Arlington,WAC,32,18,101.4,102.6,0.4646,47.2,47.4,20.7,18,34.9,30.1,42.5,40.9,48.8,50.9,29.1,26.9,64.8,-8.1,N/A
183,Utah Tech,WAC,34,19,111.2,112.7,0.4623,53.3,50.9,17.6,16.9,28.1,34.5,30.6,33,53.7,53.5,35,30.7,66.4,-8.1,N/A
184,UMBC,AE,32,24,107.6,109.2,0.456,53.9,49.2,14.1,15.2,25.1,25.6,33.8,25.2,54,49.7,35.9,32.2,66,-5.1,16
185,Appalachian St.,SB,32,19,105.3,107,0.4557,49.9,47.5,15.3,14,32,29,39.1,31.2,53.6,47,30.4,32.2,63,-9.2,N/A
186,Siena,MAAC,34,23,107.2,108.9,0.4549,50.6,48.6,16,17.1,31.9,29,34.2,27.2,52.8,48.2,30.4,32.8,64.6,-7.8,16
187,Detroit Mercy,Horz,32,17,108.8,110.7,0.4518,49.5,52.2,16,14.4,33.3,30.8,32.6,37.6,48.1,53.8,35.1,33.3,68.8,-9.8,N/A
188,Campbell,CAA,34,16,110.4,112.3,0.4517,50.1,53.9,17.6,17,33.5,32,43.5,37,51.2,54.2,32.3,35.5,69.8,-10.9,N/A
189,Portland,WCC,34,15,106.3,108.1,0.4507,51.2,52.7,19.7,17,28.1,32.5,34.4,32.6,54.7,51.4,29.9,36.1,68.5,-10.5,N/A
190,Youngstown St.,Horz,32,15,106.3,108.3,0.4475,53.7,52.3,18.8,17.8,30.4,30.7,31.4,36,56.6,51.7,33.8,35.5,67.3,-12.6,N/A
191,Charleston,CAA,32,21,106.7,108.7,0.4473,50.5,49.2,15.7,14.7,29.9,32.3,41.2,26.1,53.4,49.5,30.6,32.6,67.7,-6.2,N/A
192,Louisiana Tech,CUSA,34,20,103.2,105.2,0.4466,47.4,48.7,18.3,17.8,36.4,31.6,33.1,36.3,49.7,46.7,28.5,33.9,63.9,-9.3,N/A
193,Cal St. Fullerton,BW,34,18,107.6,109.7,0.4449,51.4,54.3,15.2,19.5,24.6,28.3,37.8,35.3,51.4,57.1,34.2,34,72.9,-9.3,N/A
194,Furman,SC,34,22,106.9,109,0.4442,54.8,50.1,17.8,13.7,31,27.5,32.1,28.9,59,50.9,33.3,32.6,65.8,-8.7,15
195,New Mexico St.,CUSA,32,16,108.1,110.2,0.4442,48.5,48.7,15,14.7,32.5,30.3,34.9,44.2,48.5,48.8,32.4,32.4,66.6,-11.4,N/A
196,South Alabama,SB,32,21,107.1,109.3,0.443,52.7,50,13.2,18.2,25.2,31.3,39.2,25.3,53.3,50.9,34.5,33,64.6,-7.5,N/A
197,East Tennessee St.,SC,34,23,107.8,110,0.4423,55.3,51,15.2,18.5,28.3,27.9,35,36.4,57.2,52.6,34.7,32.9,66,-7.4,N/A
198,Queens,ASun,34,21,114.7,117.1,0.4397,56.6,54,14.8,15,30.4,33,36.3,38.7,59,54.1,35.9,35.8,69.5,-7,15
199,Missouri St.,CUSA,34,16,109.3,111.7,0.4385,51.1,52,16.7,16.9,32,32.1,43.8,40.2,52.2,52.3,33,34.4,65.3,-12.9,N/A
200,New Orleans,Slnd,33,15,108.7,111.1,0.4357,49.6,49,20.5,14.9,35.6,34.5,46.4,39.5,50.6,49.3,31.8,32.4,69.8,-10.6,N/A
201,Tulane,Amer,33,18,107.5,110.1,0.4323,49.4,50.7,15.4,17.1,22.8,35.8,43.5,38.1,50.5,50,32,34.5,66.9,-9.1,N/A
202,Drexel,CAA,33,17,102.6,105.1,0.4316,50.7,47.1,19,16.4,31.2,31,31.6,35.4,49,47.9,35.5,30.3,64.2,-11.8,N/A
203,Weber St.,BSky,32,16,111.1,113.8,0.4302,51.7,54.5,15.7,16.3,31.8,27.7,39.2,36.4,51.6,57.1,34.5,33.5,68.5,-10.6,N/A
204,Jacksonville St.,CUSA,32,15,105.3,108,0.4286,49.7,49.6,17,16.2,29.8,28,43.1,38.7,47.4,49.3,35.7,33.3,65.1,-12.9,N/A
205,Howard,MEAC,33,23,103.5,106.2,0.4246,50.6,47.4,19.8,21.3,36.6,32,44.2,38.3,49.9,48.3,34.7,30.4,69,-6.9,16
206,Indiana St.,MVC,32,11,105.9,108.8,0.4243,52.8,50.2,19.5,14.9,26.2,31.8,27.4,28.8,57.4,52,31.5,31.3,68.2,-14.7,N/A
